1,black,0,0,1,1,1,1
1,black,0,0,0,1,0,2
1,black,0,0,2,0,0,2
1,black,0,1,0,3,0,1
1,black,0,0,0,0,0,3
1,black,0,0,1,1,2,1
1,black,0,0,2,1,2,0
1,black,1,0,0,0,4,0
1,blue,0,2,1,0,0,0
1,blue,0,1,1,2,0,1
1,blue,0,1,1,1,0,1
1,blue,0,0,0,1,1,3
1,blue,0,3,0,0,0,0
1,blue,0,0,1,2,0,2
1,blue,0,2,0,0,0,2
1,blue,1,0,0,4,0,0
1,green,0,0,2,0,1,0
1,green,0,0,0,2,2,0
1,green,0,0,1,0,3,1
1,green,0,1,1,1,1,0
1,green,0,2,1,1,1,0
1,green,0,2,0,2,1,0
1,green,0,0,0,3,0,0
1,green,1,4,0,0,0,0
1,red,0,0,3,0,0,0
1,red,0,3,1,1,0,0
1,red,0,0,0,0,2,1
1,red,0,2,2,0,0,1
1,red,0,1,2,0,1,1
1,red,0,1,1,0,1,1
1,red,0,0,2,2,0,0
1,red,1,0,4,0,0,0
1,white,0,1,0,0,2,2
1,white,0,1,0,2,0,0
1,white,0,1,0,1,1,1
1,white,0,0,0,0,3,0
1,white,0,0,0,0,2,2
1,white,0,1,0,1,1,2
1,white,0,1,3,0,1,0
1,white,1,0,0,0,0,4
2,black,1,0,3,0,2,2
2,black,1,2,3,0,0,3
2,black,2,0,0,2,1,4
2,black,2,0,5,0,0,0
2,black,2,0,0,3,0,5
2,black,3,6,0,0,0,0
2,blue,1,0,0,3,2,2
2,blue,1,3,0,0,2,3
2,blue,2,0,5,0,3,0
2,blue,2,0,0,0,5,0
2,blue,2,4,2,1,0,0
2,blue,3,0,0,0,6,0
2,green,1,0,3,3,0,2
2,green,1,2,2,0,3,0
2,green,2,1,4,0,2,0
2,green,2,0,0,0,0,5
2,green,2,0,0,0,5,3
2,green,3,0,0,0,0,6
2,red,1,3,0,2,3,0
2,red,1,3,2,2,0,0
2,red,2,0,1,0,4,2
2,red,2,5,3,0,0,0
2,red,2,5,0,0,0,0
2,red,3,0,0,6,0,0
2,white,1,2,0,2,0,3
2,white,1,0,2,3,3,0
2,white,2,2,0,4,0,1
2,white,2,0,0,5,0,0
2,white,2,3,0,5,0,0
2,white,3,0,6,0,0,0
3,black,3,0,3,3,3,5
3,black,4,0,0,7,0,0
3,black,4,3,0,6,0,3
3,black,5,3,0,7,0,0
3,blue,3,5,3,3,0,3
3,blue,4,0,7,0,0,0
3,blue,4,3,6,0,3,0
3,blue,5,0,7,0,3,0
3,green,3,3,5,3,3,0
3,green,4,0,3,0,6,3
3,green,4,0,0,0,7,0
3,green,5,0,0,0,7,3
3,red,3,3,3,0,5,3
3,red,4,0,0,0,0,7
3,red,4,0,0,3,3,6
3,red,5,0,0,3,0,7
3,white,3,3,0,5,3,3
3,white,4,7,0,0,0,0
3,white,4,6,3,3,0,0
3,white,5,7,3,0,0,0
